Population size:	Max generations:	Selection:	Recombination:	Recombination prob.:	Mutation:	Mutation prob.:	Agents:	Picks:	Columns:	TW:	CW:	Heuristic:		Fitness(AVG):	Time(AVG):	Fitness StdDev:	Time StdDev	Collisions (AVG)	Collisions StdDev	stdDevPicksPerAgent (AVG)
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	5	12	1	0	GA		675.32	675.32	167.0295112	167.0295112	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	5	12	1	0	GAxN		675.32	675.32	167.0295112	167.0295112	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	5	12	1	0	K-Means		966.01	966.01	304.9924424	304.9924424	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	5	12	1	0	Hybrid		691.13	691.13	166.5792697	166.5792697	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	5	12	1	0	GA		535.62	535.62	130.8069402	130.8069402	0.05	0.217944947	0.93
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	5	12	1	0	GAxN		578.75	578.75	135.1305572	135.1305572	0.15	1.013656747	0.85
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	5	12	1	0	K-Means		688.17	688.17	194.8209976	194.8209976	0.18	0.45563143	0.85
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	2	5	12	1	0	Hybrid		578.77	578.77	135.1168276	135.1168276	0.17	1.02034308	0.85
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	5	12	1	0	GA		503.95	503.95	120.0964925	120.0964925	0.14	0.529528092	0.954573838
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	5	12	1	0	GAxN		560.86	560.86	125.7715405	125.7715405	0.11	0.343365694	0.66939442
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	5	12	1	0	K-Means		603.63	603.63	148.6211731	148.6211731	0.23	0.507050293	0.66939442
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	3	5	12	1	0	Hybrid		560.86	560.86	125.7715405	125.7715405	0.16	0.463033476	0.66939442
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	5	12	1	0	GA		491.08	491.08	118.7138307	118.7138307	0.1	0.3	0.962487795
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	5	12	1	0	GAxN		551.32	551.32	118.0020237	118.0020237	0.33	0.617332973	0.433012702
